cnpj,plataforma,nome_fundo,classe_anbima,fonte,atualizado
38281372000106,BTG,RÉGIA CRÉDITO ESG FIC DE FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO IS - RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
18623722000168,BTG,SAFRA DEBÊNTURES INCENTIVADAS CRÉDITO PRIVADO FIF INV EM INFRA CIC RF EM INFRA RESP LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
54401649000143,BTG,SAFRA INTELIGÊNCIA ARTIFICIAL FIF CLASSE DE INVESTIMENTO MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
34781162000126,BTG,SPX SEAHAWK PLUS FIF CIC MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
50231769000199,BTG,ACCESS BTGP GLOBAL FIXED INCOME FOF BRL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
24454718000116,BTG,ACCESS JPMORGAN DOLAR GLOBAL MACRO OPPORTUNITIES FIF MULTIMERCADO IE - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
29587389000103,BTG,ACCESS JPMORGAN GLOBAL BOND OPPORTUNITIES FIC DE FIF MULTIMERCADO IE CLASSE A - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
26112046000196,BTG,ACCESS JPMORGAN GLOBAL INCOME FIC DE FIF MULTIMERCADO IE CLASSE A - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
19821469000110,BTG,ACCESS JPMORGAN GLOBAL MACRO OPPORTUNITIES FIC DE FIF MULTIMERCADO IE CLASSE A - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
49307394000114,BTG,AUTOINVEST GLOBAL BALANCED USD FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
39293607000142,BTG,BB ASSET MULTIMERCADO NORDEA ALPHA 15 HEDGE LP IE FIC FIF RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
33361831000148,BTG,BLACKROCK DYNAMIC HIGH INCOME CIC DE CLASSE DE INVESTIMENTO MULTIMERCADO RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
33361798000156,BTG,BLACKROCK GLOBAL BOND INCOME CLASSE DE INVESTIMENTO EM CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
33361657000133,BTG,BLACKROCK GLOBAL EVENT DRIVEN CLASSE DE  INVESTIMENTO MULTIMERCADO  RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
37098846000116,BTG,BTG PACTUAL FEEDER LATAM CORPORATE DEBT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
41771697000181,BTG,BTG PACTUAL REFERENCE BITCOIN 100 FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
37953241000165,BTG,BTG PACTUAL US RATES BRL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
35002927000145,BTG,BTGP AQR LONG-BIASED EQUITIES FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,Multimercados Invest. no Exterior,API,03/06/2026
65785418000105,BTG,BTGP CORDILLERA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
29177909000100,BTG,BTGP MFS MERIDIAN PRUDENT CAPITAL FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
31964074000171,BTG,BTGP MOBIUS EMERGING MARKETS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
39281097000193,BTG,BTGP MULTIGESTOR OFFSHORE FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
33158068000152,BTG,BTGP PICTET-GLOBAL MEGATREND SELECTION FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
29178368000126,BTG,BTGP RBC GLOBAL CREDITS FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FI MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
39835826000106,BTG,BTGP THUNDERBOLT FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FIM ACCESS,Multimercados Invest. no Exterior,API,03/06/2026
58436162000157,BTG,CLASSE A DE COTAS MULTIMERCADO DO AQR APEX MULTI STRATEGY FIF - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
33736767000132,BTG,EMPIRICUS CRIPTOMOEDAS FI FINANCEIRO EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
56223657000172,BTG,EMPIRICUS DIGITAL CRYPTO ATIVO FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
33925183000105,BTG,EMPIRICUS FOF MELHORES FUNDOS GLOBAL FUNDO DE INVESTIMENTO FINANCEIRO MULT INVESTIMENTO EXTERIOR,Multimercados Invest. no Exterior,API,03/06/2026
35120080000101,BTG,EMPIRICUS MONEY RIDER HF GLOBAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
36327569000103,BTG,GAMA BW ALL WEATHER@12% USD FIC DE FI FINANCEIRO MULTIMERCADO INVEST NO EXT - RESPONSABILIDADE LTDA,Multimercados Invest. no Exterior,API,03/06/2026
35744790000102,BTG,GAMA SCHRODER GAIA CONTOUR TECH EQUITY LONG & SHORT BRL FIF - CIC MULT IE - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
28856772000149,BTG,GAMA SCHRODER GAIA TS DIVERSIFIED BRL FIF MULTIMERCADO INVESTIMENTO NO EXTERIOR - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
37405108000174,BTG,GAMA WELLINGTON SCHRODER GAIA BRL FIF - CIC MULTIMERCADO INVESTIMENTO NO EXTERIOR - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
40212940000169,BTG,HASHDEX CRYPTO TOP PERFORMERS FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
26525450000191,BTG,JGP SELECT PREMIUM FIF MULTIMERCADO CRÉDITO PRIVADO IE - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
41593371000101,BTG,KINEA ÁRTEMIS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
38001966000116,BTG,MAG GLOBAL EQUITY FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
32319558000120,BTG,MAN AHL TARGET RISK BRL FIC DE FIF MULTI IE - RESPONSABILIDADE LTDA,Multimercados Invest. no Exterior,API,03/06/2026
38281316000171,BTG,MAN AHL TARGET RISK USD FIC FIF MULTI IE - RESPONSABILIDADE LTDA,Multimercados Invest. no Exterior,API,03/06/2026
41594835000102,BTG,MAN GLG HIGH YIELD OPPORTUNITIES BRL FI EM COTAS DE FIF MULTI IE - RESPONSABILIDADE LTDA,Multimercados Invest. no Exterior,API,03/06/2026
64790471000123,BTG,MAR FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
38049108000141,BTG,MERAKI EQUITY HEDGE FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
38049303000171,BTG,MERAKI LONG BIASED FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
30338686000196,BTG,OAKTREE CREDIT FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO ACCESS,Multimercados Invest. no Exterior,API,03/06/2026
29853005000149,BTG,OAKTREE GLOBAL CREDIT BRL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
40660810000199,BTG,OAKTREE GLOBAL CREDIT USD FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
39991941000170,BTG,PICTET GLOBAL MEGATREND SELECTION DOLAR FI FINANCEIRO EM COTAS DE FIM,Multimercados Invest. no Exterior,API,03/06/2026
29066331000106,BTG,PIMCO GLOBAL FINANCIALS CREDIT FIC DE FIF MULTIMERCADO IE LONGO PRAZO - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
32225478000106,BTG,PIMCO INCOME DÓLAR FIC DE FIF MULTIMERCADO INVESTIMENTO NO EXTERIOR LONGO PRAZO - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
23729512000199,BTG,PIMCO INCOME FIC DE FIF MULTIMERCADO INVESTIMENTO NO EXTERIOR LONGO PRAZO - RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
36046327000141,BTG,PÁTRIA MONEDA LATAM CORPORATE CREDIT FI EM COTAS DE FI MULTIMERCADO CRED PRIV RESP LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
34508815000106,BTG,QR BLOCKCHAIN ASSETS I FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,API,03/06/2026
18489909000110,BTG,SPXR FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
37504085000155,BTG,T.ROWE GLOBAL ALLOCATION FUND DOLAR FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FIM,Multimercados Invest. no Exterior,API,03/06/2026
61703296000100,BTG,VINCI SPECIAL OPPORTUNITIES HEDGED FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,API,03/06/2026
37310657000165,BTG,IBIUNA CREDIT FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,Multimercados Juros e Moedas,API,03/06/2026
41545043000130,BTG,IBIUNA TOTAL CREDIT FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉD PRIV - RESPONSABILIDADE LIMITADA,Multimercados Juros e Moedas,API,03/06/2026
12440825000106,BTG,VINCI MULTIESTRATÉGIA FI FINANCEIRO - CI MULT - RESP LIMITADA,Multimercados Juros e Moedas,API,03/06/2026
13396703000122,BTG,VINCI VALOREM FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Juros e Moedas,API,03/06/2026
46929688000190,BTG,AZ QUEST BAYES LONG SHORT SISTEMÁTICO FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados L/S - Direcional,API,03/06/2026
14812722000155,BTG,AZ QUEST TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE  INVESTIMENTO FIN MULTIMERCADO,Multimercados L/S - Direcional,API,03/06/2026
60018029000122,BTG,BTG PACTUAL SYNERGY EQUITY HEDGE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados L/S - Direcional,API,03/06/2026
40920066000114,BTG,GIANT DAO MULTIFACTOR LONG BIASED FIF EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados L/S - Direcional,API,03/06/2026
24140256000162,BTG,MOAT CAPITAL EQUITY HEDGE FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados L/S - Direcional,API,03/06/2026
12430199000177,BTG,NAVI LONG SHORT FI FINANCEIRO - CIC MULT - RESP LIMITADA,Multimercados L/S - Direcional,API,03/06/2026
31922843000179,BTG,NEO ARGO LONG AND SHORT FIF DA CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados L/S - Direcional,API,03/06/2026
17164789000119,BTG,OCCAM LONG & SHORT PLUS FI EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados L/S - Direcional,API,03/06/2026
18525868000170,BTG,OCCAM LONG BIASED FI EM COTAS DE FI MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados L/S - Direcional,API,03/06/2026
26831831000107,BTG,TRUXT LONG SHORT FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FI MULTIMERCADO ACCESS,Multimercados L/S - Direcional,API,03/06/2026
40575693000165,BTG,TÁVOLA EQUITY HEDGE 15 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados L/S - Direcional,API,03/06/2026
18391138000124,BTG,IBIUNA LONG SHORT STLS FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA,Multimercados L/S - Neutro,API,03/06/2026
36181846000112,BTG,A1 HEDGE FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS MULT RESP LIMITADA,Multimercados Livre,API,03/06/2026
53827819000193,BTG,ABSOLUTE PACE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
43984537000146,BTG,ACCESS KAPITALO K10 FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
52304477000164,BTG,ALPHAKEY LONG SHORT FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
34172497000147,BTG,ARMOR AXE FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
44853229000144,BTG,AUDACITAS IQ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
17012208000123,BTG,AUGME 90 FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
36499625000197,BTG,AZ QUEST BAYES LONG BIASED SISTEMATICO FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
36352498000107,BTG,AZ QUEST SUPRA FI EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,Multimercados Livre,API,03/06/2026
38376759000146,BTG,BRADESCO EQUITY HEDGE FI FINANCEIRO - CIC MULT - RESP LIMITADA,Multimercados Livre,API,03/06/2026
41266158000195,BTG,BTG AUTOINVEST SOFISTICADO FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
26623189000162,BTG,BTG MULTIGESTOR TOTAL RETURN FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
62074308000139,BTG,BTG MULTIGESTOR TOTAL RETURN RV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
33599991000120,BTG,BTG PACTUAL CREDITO CORPORATIVO PLUS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
57065769000105,BTG,BTG PACTUAL HEDGE PLUS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
40916758000199,BTG,BTG PACTUAL REFERENCE BITCOIN 20 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
36499594000174,BTG,BTG PACTUAL S&P 500 BRL FUNDO DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Livre,API,03/06/2026
63399183000180,BTG,BTG PACTUAL VOLT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
17816013000136,BTG,BTGP ACCESS GAVEA MACRO FI FINANCEIRO EM QUOTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
17429959000140,BTG,BTGP ACCESS KAPITALO KAPPA FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FIM,Multimercados Livre,API,03/06/2026
23272391000107,BTG,CAPITÂNIA RADAR 90 FIF MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO - RESPONSABILIDADE LIMITADA,Multimercados Livre,API,03/06/2026
42562316000117,BTG,CITRINO GLOBAL FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
41907541000185,BTG,CLAVE TOTAL RETURN FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO ACCESS,Multimercados Livre,API,03/06/2026
42730699000195,BTG,CONCÓRDIA RACCOON FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
28856743000187,BTG,CONSTÂNCIA ABSOLUTO FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Livre,API,03/06/2026
34702572000134,BTG,DAEMON NOUS GLOBAL FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTI - RESPONSABILIDADE LIMITADA,Multimercados Livre,API,03/06/2026
57906153000110,BTG,DAHLIA EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Livre,API,03/06/2026
35432385000140,BTG,DAHLIA MACRO GLOBAL FIC FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Livre,API,03/06/2026
30317454000151,BTG,DAHLIA TOTAL RETURN FUNDO DE  INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Livre,API,03/06/2026
30568854000130,BTG,EMPIRICUS CARTEIRA UNIVERSA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
36380409000128,BTG,EMPIRICUS CRIPTO METALS BLEND FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
57075941000101,BTG,EMPIRICUS ESSENTIAL CRYPTO FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
42081209000177,BTG,EMPIRICUS FOF COMMODITIES FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
33952911000178,BTG,EMPIRICUS FOF MELHORES FUNDOS AÇÕES - FI FINANCEIRO EM COTAS DE FI MULTIMERCADO,Multimercados Livre,API,03/06/2026
30509286000104,BTG,EMPIRICUS FOF MELHORES FUNDOS MULT FI FINANCEIRO EM COTAS DE FI MULTIMERCADO,Multimercados Livre,API,03/06/2026
40190965000109,BTG,EMPIRICUS FOF MELHORES FUNDOS NOVAS IDEIAS FI FINANCEIRO EM COTAS DE FUNDOS DE INVEST MULTIMERCADO,Multimercados Livre,API,03/06/2026
40190995000115,BTG,EMPIRICUS FOF MELHORES FUNDOS RETORNO ABSOLUTO FI FINA EM COTAS DE FUNDOS DE INVEST MULTIMERCADO,Multimercados Livre,API,03/06/2026
47529572000126,BTG,EMPIRICUS MACRO SELECT FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
33925149000130,BTG,EMPIRICUS OURO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
40936530000160,BTG,EMPIRICUS PETRÓLEO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
37843177000160,BTG,EMPIRICUS PRATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
35101822000143,BTG,EMPIRICUS UNIVERSA RIDER BLEND FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FI MULTIMERCADO,Multimercados Livre,API,03/06/2026
40503169000189,BTG,EMPIRICUS URÂNIO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Livre,API,03/06/2026
37487351000189,BTG,ENCORE LONG BIAS FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
34626199000180,BTG,ENTERCAPITAL TURING FI FINANCEIRO - CIC MULT - RESP LIMITADA,Multimercados Livre,API,03/06/2026
19628666000117,BTG,EXPLORITAS AMERICA LATINA FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FI MULTIMERCADO,Multimercados Livre,API,03/06/2026
36440431000116,BTG,GALAPAGOS EVOLUTION FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Livre,API,03/06/2026
37495383000126,BTG,GENOA CAPITAL ARPA FIF CIC MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Livre,API,03/06/2026
